row_id,attribute,task,feature,r,candidate,side,actor_uid,attr_value,per_actor_F,per_clip_F,n_frames,g1_csv
age_walking_turning_wrist_rom,age,"walking, turning",wrist_rom,-0.2504499625467761,gap,high,A462,28.0,143.56239700317383,143.56239700317383,2040,g1/csv/231005/painful_stand_on_turn_walk_ff_270_start_R_002__A462.csv
age_walking_turning_wrist_rom,age,"walking, turning",wrist_rom,-0.2504499625467761,gap,low,A463,31.0,63.95419883728027,63.95419883728027,1823,g1/csv/231005/painful_stand_on_turn_walk_ff_270_start_R_002__A463.csv
age_climbing_box_shoulder_rom,age,climbing box,shoulder_rom,0.24076618885844567,extreme,high,A199,31.0,83.10073852539062,83.10073852539062,821,g1/csv/230216/lift_crate_come_down_50cm_box_R_001__A199.csv
age_climbing_box_shoulder_rom,age,climbing box,shoulder_rom,0.24076618885844567,extreme,low,A203,23.0,61.88179397583008,61.88179397583008,759,g1/csv/230216/lift_crate_come_down_50cm_box_R_001__A203.csv
age_climbing_box_shoulder_rom,age,climbing box,shoulder_rom,0.24076618885844567,gap,high,A067,51.0,201.4449920654297,201.4449920654297,1488,g1/csv/221117/come_up_50cm_box_R_002__A067.csv
age_climbing_box_shoulder_rom,age,climbing box,shoulder_rom,0.24076618885844567,gap,low,A052,26.0,3.174612283706665,3.174612283706665,475,g1/csv/221011/come_up_50cm_box_R_002__A052.csv
age_jumping_turning_wrist_mean_vel,age,"jumping, turning",wrist_mean_vel,-0.23822854434913576,extreme,high,A031,22.0,93.3272819519043,93.3272819519043,420,g1/csv/220720/turn_jump_045_003__A031.csv
age_jumping_turning_wrist_mean_vel,age,"jumping, turning",wrist_mean_vel,-0.23822854434913576,extreme,low,A044,65.0,21.396870613098145,21.396870613098145,558,g1/csv/220728/turn_jump_045_003__A044.csv
age_jumping_turning_wrist_mean_vel,age,"jumping, turning",wrist_mean_vel,-0.23822854434913576,gap,high,A032,36.0,99.69976425170898,99.69976425170898,449,g1/csv/220720/turn_jump_135_001__A032.csv
age_jumping_turning_wrist_mean_vel,age,"jumping, turning",wrist_mean_vel,-0.23822854434913576,gap,low,A026,46.0,11.254961490631104,11.254961490631104,1285,g1/csv/220714/turn_jump_0135_001__A026.csv
age_gesture_elbow_mean_vel,age,gesture,elbow_mean_vel,-0.2176701699925716,extreme,high,A101,24.0,137.86624145507812,137.86624145507812,1128,g1/csv/230103/lamenting_003__A101.csv
age_gesture_elbow_mean_vel,age,gesture,elbow_mean_vel,-0.2176701699925716,extreme,low,A259,60.0,60.58403396606445,60.58403396606445,1575,g1/csv/230309/lamenting_001__A259.csv
age_gesture_elbow_mean_vel,age,gesture,elbow_mean_vel,-0.2176701699925716,gap,high,A238,24.0,195.80004119873047,195.80004119873047,709,g1/csv/230302/lamenting_003__A238.csv
age_gesture_elbow_mean_vel,age,gesture,elbow_mean_vel,-0.2176701699925716,gap,low,A414,25.0,27.866713523864746,27.866713523864746,1178,g1/csv/230530/lamenting_002__A414.csv
age_standing_idle_wrist_peak_vel,age,standing idle,wrist_peak_vel,0.21501052823995945,extreme,high,A268,66.0,335.36785888671875,335.36785888671875,620,g1/csv/230313/idle_hands_on_back_stop_001__A268.csv
age_standing_idle_wrist_peak_vel,age,standing idle,wrist_peak_vel,0.21501052823995945,extreme,low,A029,22.0,271.39378356933594,271.39378356933594,670,g1/csv/220720/idle_hands_on_back_stop_001__A029.csv
age_standing_idle_wrist_peak_vel,age,standing idle,wrist_peak_vel,0.21501052823995945,gap,high,A120,26.0,3038.2840270996094,3038.2840270996094,1515,g1/csv/230118/neutral_idle_loop_002__A120.csv
age_standing_idle_wrist_peak_vel,age,standing idle,wrist_peak_vel,0.21501052823995945,gap,low,A087,24.0,10.4087553024292,10.4087553024292,1456,g1/csv/221206/neutral_idle_loop_001__A087.csv
weight_gesture_dancing_waist_rom,weight,"gesture, dancing",waist_rom,-0.40796984539594155,extreme,high,A438,56.0,39.379234313964844,39.379234313964844,530,g1/csv/230112/lasso_dance_R_002__A438.csv
weight_gesture_dancing_waist_rom,weight,"gesture, dancing",waist_rom,-0.40796984539594155,extreme,low,A259,120.0,25.11648941040039,25.11648941040039,898,g1/csv/230309/lasso_dance_R_002__A259.csv
weight_gesture_dancing_waist_rom,weight,"gesture, dancing",waist_rom,-0.40796984539594155,gap,high,A140,61.0,71.77677154541016,71.77677154541016,675,g1/csv/230124/lasso_dance_R_006__A140.csv
weight_gesture_dancing_waist_rom,weight,"gesture, dancing",waist_rom,-0.40796984539594155,gap,low,A275,126.0,22.1954288482666,22.1954288482666,660,g1/csv/230315/lasso_dance_R_003__A275.csv
weight_climbing_box_hip_rom,weight,climbing box,hip_rom,-0.3862130813944471,extreme,high,A310,52.0,94.94569396972656,94.94569396972656,593,g1/csv/230411/come_up_50cm_box_R_001__A310.csv
weight_climbing_box_hip_rom,weight,climbing box,hip_rom,-0.3862130813944471,extreme,low,A100,89.0,77.70965194702148,77.70965194702148,383,g1/csv/230103/come_up_50cm_box_R_002__A100.csv
weight_climbing_box_hip_rom,weight,climbing box,hip_rom,-0.3862130813944471,gap,high,A065,61.0,129.85351181030273,129.85351181030273,1270,g1/csv/221117/come_up_50cm_box_R_002__A065.csv
weight_climbing_box_hip_rom,weight,climbing box,hip_rom,-0.3862130813944471,gap,low,A052,65.0,4.446020007133484,4.446020007133484,475,g1/csv/221011/come_up_50cm_box_R_002__A052.csv
weight_jogging_shoulder_rom,weight,jogging,shoulder_rom,-0.38017458182410147,extreme,high,A029,41.0,152.15826416015625,152.15826416015625,810,g1/csv/220720/arc_jog_left_start_001__A029.csv
weight_jogging_shoulder_rom,weight,jogging,shoulder_rom,-0.38017458182410147,extreme,low,A034,96.0,50.70804977416992,50.70804977416992,634,g1/csv/220721/arc_jog_left_start_003__A034.csv
weight_jogging_shoulder_rom,weight,jogging,shoulder_rom,-0.38017458182410147,gap,high,A019,68.0,201.10626220703125,201.10626220703125,13947,g1/csv/220705/Loop_Forward_Jog_001__A019.csv
weight_jogging_shoulder_rom,weight,jogging,shoulder_rom,-0.38017458182410147,gap,low,A445,74.0,31.29446315765381,31.29446315765381,283,g1/csv/230905/jog_ff_loop_180_R_002__A445.csv
weight_kneeling_shoulder_peak_vel,weight,kneeling,shoulder_peak_vel,0.37615531017471526,extreme,high,A431,132.0,162.9886932373047,162.9886932373047,987,g1/csv/230713/knightly_bow_R_002__A431.csv
weight_kneeling_shoulder_peak_vel,weight,kneeling,shoulder_peak_vel,0.37615531017471526,extreme,low,A432,55.0,160.5958137512207,160.5958137512207,764,g1/csv/230713/knightly_bow_R_002__A432.csv
weight_kneeling_shoulder_peak_vel,weight,kneeling,shoulder_peak_vel,0.37615531017471526,gap,high,A035,145.0,787.8469848632812,787.8469848632812,743,g1/csv/220721/kneeling_stop_001__A035.csv
weight_kneeling_shoulder_peak_vel,weight,kneeling,shoulder_peak_vel,0.37615531017471526,gap,low,A033,59.0,63.65235900878906,63.65235900878906,350,g1/csv/220721/kneeling_stop_003__A033.csv
weight_jogging_turning_ankle_rom,weight,"jogging, turning",ankle_rom,-0.36526356807974225,extreme,high,A029,41.0,81.59230041503906,81.59230041503906,635,g1/csv/220720/turn_start_jog_135_003__A029.csv
weight_jogging_turning_ankle_rom,weight,"jogging, turning",ankle_rom,-0.36526356807974225,extreme,low,A025,102.0,59.51556587219238,59.51556587219238,488,g1/csv/220714/turn_start_jog_0135_003__A025.csv
