row_id,attribute,task,feature,r,side,actor_uid,attr_value,per_actor_F,per_clip_F,n_frames,g1_csv
weight_jumping_ankle_peak_vel,weight,jumping,ankle_peak_vel,-0.17522490012375827,low,A259,120.0,559.2296976361956,562.0804748535156,615,g1/csv/230309/jump_ff_270_003__A259.csv
weight_walking_turning_ankle_peak_vel,weight,"walking, turning",ankle_peak_vel,-0.1470015348543236,high,A029,41.0,473.9427534697349,481.75587463378906,893,g1/csv/220720/walk_backward_start_001__A029.csv
weight_walking_turning_ankle_peak_vel,weight,"walking, turning",ankle_peak_vel,-0.1470015348543236,low,A266,120.0,390.2013816833496,389.7991638183594,650,g1/csv/230313/turn_walk_270_R_002__A266.csv
weight_jogging_ankle_peak_vel,weight,jogging,ankle_peak_vel,-0.13970241574595144,high,A018,45.0,1120.3355068630642,1066.8083190917969,6387,g1/csv/220705/Stop_forward_Jog_005__A018.csv
weight_jogging_ankle_peak_vel,weight,jogging,ankle_peak_vel,-0.13970241574595144,low,A457,63.0,352.7558848063151,361.7879638671875,450,g1/csv/231004/jog_ff_stop_180_R_001__A457.csv
weight_walking_ankle_peak_vel,weight,walking,ankle_peak_vel,-0.12860498476860338,high,A005,50.0,485.1328592300415,468.9132537841797,1360,g1/csv/210707/walk_fast_forward_grab_normal_002__A005.csv
weight_walking_ankle_peak_vel,weight,walking,ankle_peak_vel,-0.12860498476860338,low,A072,97.0,407.95067516802135,409.88238525390625,501,g1/csv/221118/walk_ff_start_180_R_001__A072.csv
weight_kneeling_ankle_peak_vel,weight,kneeling,ankle_peak_vel,-0.11565439011128889,high,A048,63.0,810.7323289235433,1156.2101745605469,581,g1/csv/221010/kneeling_stop_003__A048.csv
weight_kneeling_ankle_peak_vel,weight,kneeling,ankle_peak_vel,-0.11565439011128889,low,A430,64.0,95.9054238796234,101.88753128051758,988,g1/csv/230713/knightly_bow_R_002__A430.csv
height_climbing_box_root_translate_rom,height,climbing box,root_translate_rom,-0.4675767694549801,high,A469,166.0,76.17131233215332,72.12881469726562,341,g1/csv/231009/come_up_50cm_box_R_001__A469.csv
height_climbing_box_root_translate_rom,height,climbing box,root_translate_rom,-0.4675767694549801,low,A184,187.0,65.87069829305013,67.5742416381836,403,g1/csv/230213/come_up_50cm_box_R_003__A184.csv
height_jogging_turning_root_translate_rom,height,"jogging, turning",root_translate_rom,-0.3254502755067905,high,A021,155.0,592.1476860046387,582.7128295898438,573,g1/csv/220713/turn_start_jog_0090_003__A021.csv
height_jogging_turning_root_translate_rom,height,"jogging, turning",root_translate_rom,-0.3254502755067905,low,A063,191.0,458.37262471516925,480.8227844238281,383,g1/csv/221116/turn_jog_360_003__A063.csv
