attr,feature,task,r,p,abs_r,n_actors,n_lo_actors,n_hi_actors,n_lo_clips,n_hi_clips,low_bar_F_range,high_bar_F_range,top10_hi_min,top10_lo_max,cushion_pct,enough_demos,separated,score
age,waist_rom,"gesture, dancing",-0.5062010581277409,0.00015080207451493603,0.5062010581277409,51,21,17,106,163,6.5..56.7,7.2..74.9,61.08403778076172,10.400954246520996,82.97271329074327,True,True,0.5062010581277409
age,waist_rom,"jogging, turning",-0.4193189275171785,8.49595166346e-06,0.4193189275171785,105,38,21,179,217,16.0..52.5,24.7..102.9,79.76714324951172,25.04969596862793,68.59647350003189,True,True,0.4193189275171785
age,waist_rom,jogging,-0.39805721156273977,3.0161044403762734e-17,0.39805721156273977,416,172,94,2236,2530,0.6..84.4,0.7..92.7,69.01380157470703,12.263590812683105,82.2302343402894,True,True,0.39805721156273977
age,waist_rom,transition,-0.3506184899338106,8.274266168658853e-06,0.3506184899338106,154,70,31,273,506,3.7..36.8,5.0..76.9,64.54576110839844,5.15907096862793,92.00711110995536,True,True,0.3506184899338106
age,waist_rom,turning,-0.3429917564292971,1.0951619002253716e-05,0.3429917564292971,157,33,32,298,178,0.9..33.4,7.3..29.0,24.90957260131836,6.07562255859375,75.60928621363743,True,True,0.3429917564292971
age,waist_rom,dancing,-0.3398405498396174,9.391803921121666e-12,0.3398405498396174,381,161,77,1302,2571,10.3..105.9,9.5..119.3,100.53193664550781,15.352651596069336,84.72858266900268,True,True,0.3398405498396174
age,waist_rom,walking,-0.2777036867932971,5.467666590574343e-06,0.2777036867932971,260,102,61,2636,2839,0.7..115.0,0.9..94.3,82.46512603759766,10.340576171875,87.46066771648357,True,True,0.2777036867932971
age,waist_rom,"jumping, turning",-0.27651759694534517,0.010890086948643596,0.27651759694534517,84,17,18,229,139,1.4..67.2,6.4..59.4,40.67442321777344,16.139123916625977,60.321197844119176,True,True,0.27651759694534517
weight,ankle_peak_vel,"jumping, turning",-0.2839095070687194,0.00886610095043182,0.2839095070687194,84,17,17,183,207,16.5..982.5,18.3..1487.5,897.7317504882812,284.5340042114258,68.30523103848492,True,True,0.2839095070687194
weight,ankle_peak_vel,"jogging, turning",-0.23422509977171296,0.016176100809915907,0.23422509977171296,105,22,22,168,155,365.7..1997.5,389.5..1588.1,1129.6138610839844,414.3359375,63.32056893296257,True,True,0.23422509977171296
weight,ankle_peak_vel,climbing box,-0.19792825906708306,0.00032364995858446004,0.19792825906708306,326,98,73,393,508,329.0..1064.5,62.9..3074.4,2343.245361328125,357.43749237060547,84.74604929259247,True,True,0.19792825906708306
weight,ankle_peak_vel,jumping,-0.18573745983543768,0.00013633439215161297,0.18573745983543768,417,84,96,1236,1039,2.0..1635.4,2.6..1588.7,1415.7694702148438,142.4519805908203,89.93819378170352,True,True,0.18573745983543768
weight,ankle_peak_vel,jogging,-0.13411156097408616,0.006153175201171183,0.13411156097408616,416,86,91,1874,1497,1.6..2986.3,2.9..1817.9,1363.5578002929688,235.2909698486328,82.74433472507883,True,True,0.13411156097408616
weight,ankle_peak_vel,"walking, turning",-0.13174780825191482,0.17614910730870587,0.13174780825191482,107,22,22,200,217,27.9..1839.9,3.1..1636.3,1226.4539794921875,218.51451873779297,82.18322722322866,True,True,0.13174780825191482
weight,ankle_peak_vel,walking,-0.122949688732257,0.047650523038207875,0.122949688732257,260,71,54,1995,2198,3.8..2664.1,3.7..3186.9,1364.2578125,7.754215240478516,99.43161657793486,True,True,0.122949688732257
weight,ankle_peak_vel,kneeling,-0.11021498914232342,0.3532746923296257,0.11021498914232342,73,16,15,148,191,1.8..809.1,2.8..2510.4,463.2113494873047,5.938968658447266,98.71787065126519,True,True,0.11021498914232342
height,root_translate_rom,climbing box,-0.46739331696084496,4.269896399276218e-19,0.46739331696084496,326,100,81,435,500,5.7..117.3,2.6..128.2,101.60213470458984,55.281429290771484,45.590287594347004,True,True,0.4261719147984141
height,root_translate_rom,"jogging, turning",-0.3261913683407146,0.0006841931396792517,0.3261913683407146,105,22,25,182,199,219.7..674.8,147.4..820.9,775.2896118164062,313.3533020019531,59.58241962409303,True,True,0.3261913683407146
height,root_translate_rom,"walking, turning",-0.31138475953809536,0.001095721113625838,0.31138475953809536,107,23,25,248,274,1.5..644.2,0.5..846.3,740.3271484375,159.2987518310547,78.48265430124192,True,True,0.31138475953809536
height,root_translate_rom,jogging,-0.2834066495162638,4.003226014718712e-09,0.2834066495162638,416,84,85,1734,1734,0.6..889.4,1.1..983.0,919.191650390625,17.84531021118164,98.0585865631397,True,True,0.2834066495162638
height,root_translate_rom,walking,-0.2556152552862283,3.0284227246281254e-05,0.2556152552862283,260,57,56,2166,2127,0.6..816.2,0.7..1036.1,968.6350708007812,2.1756794452667236,99.7753870873715,True,True,0.2556152552862283
height,root_translate_rom,sitting,-0.21057538321636626,0.036428818999223726,0.21057538321636626,99,20,24,705,591,0.1..99.4,0.1..154.8,124.33222198486328,0.10650920867919922,99.91433499138125,True,True,0.21057538321636626
height,root_translate_rom,dancing,-0.14583677516972463,0.004337236947980688,0.14583677516972463,381,119,81,786,2767,5.1..284.2,2.8..612.7,544.8822631835938,10.60573673248291,98.05357277175503,True,True,0.14583677516972463
height,root_translate_rom,"gesture, dancing",0.1329006803569392,0.35252415242984736,0.1329006803569392,51,14,12,103,80,0.9..445.5,1.2..463.1,401.1539611816406,2.162947177886963,99.46081869127859,True,True,0.1329006803569392
gender,ankle_rom,"jogging, turning",-0.4067657906166353,1.6628551617457502e-05,0.4067657906166353,105,52,53,345,370,34.6..78.2,24.8..82.6,77.96710968017578,39.77152633666992,48.989353972701664,True,True,0.39854386601008396
gender,ankle_rom,"walking, turning",-0.3747735628130666,6.975595350170537e-05,0.3747735628130666,107,53,54,451,492,1.2..54.6,0.4..63.5,58.116220474243164,27.909881591796875,51.975745559423636,True,True,0.3747735628130666
gender,ankle_rom,jogging,-0.350072805454162,1.9443447839106463e-13,0.350072805454162,416,206,210,3355,3449,0.4..76.1,0.9..82.2,78.04667282104492,29.414403915405273,62.3117772325154,True,True,0.350072805454162
gender,ankle_rom,"jumping, turning",-0.32745274827427895,0.0023620073483239697,0.32745274827427895,84,43,41,408,466,3.7..66.2,0.9..83.3,73.5484390258789,29.796443939208984,59.48731973941045,True,True,0.32745274827427895
gender,ankle_rom,jumping,-0.22198834142644033,4.722527021872797e-06,0.22198834142644033,417,202,215,2771,2480,0.3..83.1,0.6..83.6,80.40591430664062,28.642924308776855,64.37709271044099,True,True,0.22198834142644033
gender,ankle_rom,sitting,-0.20442420727697333,0.04239213029472226,0.20442420727697333,99,44,55,1321,1107,0.0..85.4,0.0..85.4,84.8958625793457,0.0,100.0,True,True,0.20442420727697333
gender,ankle_rom,walking,-0.1884345114746765,0.0022796318200213406,0.1884345114746765,260,127,133,4171,4125,0.7..80.7,0.5..85.4,80.7918701171875,1.5102546215057373,98.13068490763348,True,True,0.1884345114746765
gender,ankle_rom,climbing box,-0.20673448436628927,0.00017056795601727776,0.20673448436628927,326,157,169,884,783,2.4..74.9,6.6..77.1,72.49755096435547,41.068878173828125,43.351357904461814,True,True,0.17924441245914743
