[load] data\fixed_feature_instances_multi.json  (720 instances)
  [age_waist_mean_vel_jumping_turning_A040] side=high  F_csv=3.44  F_check=3.44
  [age_waist_mean_vel_jumping_turning_A039] side=high  F_csv=3.99  F_check=3.99
  [age_waist_mean_vel_jumping_turning_A037] side=high  F_csv=7.96  F_check=7.96
  [age_waist_mean_vel_turning_A145] side=low  F_csv=99.12  F_check=99.12
  [age_waist_mean_vel_turning_A146] side=low  F_csv=83.41  F_check=83.41
  [age_waist_mean_vel_turning_A128] side=low  F_csv=43.36  F_check=43.36
  [age_waist_mean_vel_turning_A129] side=low  F_csv=37.33  F_check=37.33
  [age_waist_mean_vel_turning_A026] side=high  F_csv=0.99  F_check=0.99
  [age_waist_mean_vel_turning_A079] side=high  F_csv=2.17  F_check=2.17
  [age_waist_mean_vel_turning_A044] side=high  F_csv=2.92  F_check=2.92
  [age_waist_mean_vel_turning_A042] side=high  F_csv=3.23  F_check=3.23
  [age_waist_mean_vel_jogging_turning_A094] side=low  F_csv=141.84  F_check=141.84
  [age_waist_mean_vel_jogging_turning_A029] side=low  F_csv=140.51  F_check=140.51
  [age_waist_mean_vel_jogging_turning_A238] side=low  F_csv=122.06  F_check=122.06
  [age_waist_mean_vel_jogging_turning_A059] side=low  F_csv=121.96  F_check=121.96
  [age_waist_mean_vel_jogging_turning_A038] side=high  F_csv=22.62  F_check=22.62
  [age_waist_mean_vel_jogging_turning_A044] side=high  F_csv=29.39  F_check=29.39
  [age_waist_mean_vel_jogging_turning_A042] side=high  F_csv=32.88  F_check=32.88
  [age_waist_mean_vel_jogging_turning_A039] side=high  F_csv=39.27  F_check=39.27
  [age_waist_mean_vel_gesture_dancing_A186] side=low  F_csv=150.73  F_check=150.73
  [age_waist_mean_vel_gesture_dancing_A140] side=low  F_csv=149.47  F_check=149.47
  [age_waist_mean_vel_gesture_dancing_A236] side=low  F_csv=129.61  F_check=129.61
  [age_waist_mean_vel_gesture_dancing_A406] side=low  F_csv=124.18  F_check=124.18
  [age_waist_mean_vel_gesture_dancing_A187] side=high  F_csv=10.00  F_check=10.00
  [age_waist_mean_vel_gesture_dancing_A438] side=high  F_csv=10.05  F_check=10.05
  [age_waist_mean_vel_gesture_dancing_A276] side=high  F_csv=11.22  F_check=11.22
  [age_waist_mean_vel_gesture_dancing_A188] side=high  F_csv=11.44  F_check=11.44
  [age_waist_mean_vel_jogging_A451] side=low  F_csv=207.92  F_check=207.92
  [age_waist_mean_vel_jogging_A362] side=low  F_csv=160.32  F_check=160.32
  [age_waist_mean_vel_jogging_A361] side=low  F_csv=160.29  F_check=160.29
  [age_waist_mean_vel_jogging_A103] side=low  F_csv=152.83  F_check=152.83
  [age_waist_mean_vel_jogging_A072] side=high  F_csv=1.28  F_check=1.28
  [age_waist_mean_vel_jogging_A063] side=high  F_csv=1.74  F_check=1.74
  [age_waist_mean_vel_jogging_A023] side=high  F_csv=2.01  F_check=2.01
  [age_waist_mean_vel_jogging_A071] side=high  F_csv=3.81  F_check=3.81
  [age_waist_mean_vel_transition_A029] side=low  F_csv=62.61  F_check=62.61
  [age_waist_mean_vel_transition_A126] side=low  F_csv=38.90  F_check=38.90
  [age_waist_mean_vel_transition_A031] side=low  F_csv=38.36  F_check=38.36
  [age_waist_mean_vel_transition_A230] side=low  F_csv=32.50  F_check=32.50
  [age_waist_mean_vel_transition_A042] side=high  F_csv=1.71  F_check=1.71
  [age_waist_mean_vel_transition_A066] side=high  F_csv=1.82  F_check=1.82
  [age_waist_mean_vel_transition_A041] side=high  F_csv=2.02  F_check=2.02
  [age_waist_mean_vel_transition_A069] side=high  F_csv=2.12  F_check=2.12
  [age_waist_mean_vel_dancing_A316] side=low  F_csv=202.99  F_check=202.99
