[load] data\fixed_feature_instances_multi.json  (720 instances)
  [weight_root_translate_peak_vel_jumping_turning_A029] side=low  F_csv=224.25  F_check=224.25
  [weight_root_translate_peak_vel_jumping_turning_A039] side=high  F_csv=3.36  F_check=3.36
  [weight_root_translate_peak_vel_jumping_turning_A025] side=high  F_csv=11.28  F_check=11.28
  [weight_root_translate_peak_vel_jumping_turning_A266] side=high  F_csv=57.47  F_check=57.47
  [weight_root_translate_peak_vel_jumping_turning_A265] side=high  F_csv=74.09  F_check=74.09
  [weight_root_translate_peak_vel_walking_turning_A030] side=low  F_csv=179.20  F_check=179.20
  [weight_root_translate_peak_vel_walking_turning_A174] side=low  F_csv=166.57  F_check=166.57
  [weight_root_translate_peak_vel_walking_turning_A064] side=low  F_csv=160.69  F_check=160.69
  [weight_root_translate_peak_vel_walking_turning_A029] side=low  F_csv=156.06  F_check=156.06
  [weight_root_translate_peak_vel_walking_turning_A025] side=high  F_csv=43.10  F_check=43.10
  [weight_root_translate_peak_vel_walking_turning_A161] side=high  F_csv=51.00  F_check=51.00
  [weight_root_translate_peak_vel_walking_turning_A034] side=high  F_csv=59.97  F_check=59.97
  [weight_root_translate_peak_vel_walking_turning_A039] side=high  F_csv=81.12  F_check=81.12
  [weight_root_translate_peak_vel_kneeling_A036] side=low  F_csv=100.46  F_check=100.46
  [weight_root_translate_peak_vel_kneeling_A098] side=low  F_csv=95.54  F_check=95.54
  [weight_root_translate_peak_vel_kneeling_A030] side=low  F_csv=91.64  F_check=91.64
  [weight_root_translate_peak_vel_kneeling_A247] side=low  F_csv=91.20  F_check=91.20
  [weight_root_translate_peak_vel_kneeling_A039] side=high  F_csv=1.00  F_check=1.00
  [weight_root_translate_peak_vel_kneeling_A123] side=high  F_csv=1.07  F_check=1.07
  [weight_root_translate_peak_vel_kneeling_A408] side=high  F_csv=1.35  F_check=1.35
  [weight_root_translate_peak_vel_kneeling_A168] side=high  F_csv=1.61  F_check=1.61
  [weight_root_translate_peak_vel_jogging_A451] side=low  F_csv=448.65  F_check=448.65
  [weight_root_translate_peak_vel_jogging_A443] side=low  F_csv=332.24  F_check=332.24
  [weight_root_translate_peak_vel_jogging_A029] side=low  F_csv=322.86  F_check=322.86
  [weight_root_translate_peak_vel_jogging_A021] side=low  F_csv=309.64  F_check=309.64
  [weight_root_translate_peak_vel_jogging_A093] side=high  F_csv=1.30  F_check=1.30
  [weight_root_translate_peak_vel_jogging_A072] side=high  F_csv=1.65  F_check=1.65
  [weight_root_translate_peak_vel_jogging_A063] side=high  F_csv=2.93  F_check=2.93
  [weight_root_translate_peak_vel_jogging_A023] side=high  F_csv=3.17  F_check=3.17
  [weight_root_translate_peak_vel_dancing_A306] side=low  F_csv=252.55  F_check=252.55
  [weight_root_translate_peak_vel_dancing_A311] side=low  F_csv=224.44  F_check=224.44
  [weight_root_translate_peak_vel_dancing_A310] side=low  F_csv=223.77  F_check=223.77
  [weight_root_translate_peak_vel_dancing_A317] side=low  F_csv=223.36  F_check=223.36
  [weight_root_translate_peak_vel_dancing_A039] side=high  F_csv=18.82  F_check=18.82
  [weight_root_translate_peak_vel_dancing_A309] side=high  F_csv=19.05  F_check=19.05
  [weight_root_translate_peak_vel_dancing_A314] side=high  F_csv=20.39  F_check=20.39
  [weight_root_translate_peak_vel_dancing_A066] side=high  F_csv=20.79  F_check=20.79
  [weight_root_translate_peak_vel_walking_A449] side=low  F_csv=319.52  F_check=319.52
  [weight_root_translate_peak_vel_walking_A450] side=low  F_csv=267.99  F_check=267.99
  [weight_root_translate_peak_vel_walking_A006] side=low  F_csv=227.74  F_check=227.74
  [weight_root_translate_peak_vel_walking_A146] side=low  F_csv=223.16  F_check=223.16
  [weight_root_translate_peak_vel_walking_A034] side=high  F_csv=1.57  F_check=1.57
  [weight_root_translate_peak_vel_walking_A035] side=high  F_csv=1.92  F_check=1.92
  [weight_root_translate_peak_vel_walking_A127] side=high  F_csv=2.83  F_check=2.83
  [weight_root_translate_peak_vel_walking_A194] side=high  F_csv=2.88  F_check=2.88
  [weight_root_translate_peak_vel_jumping_A305] side=low  F_csv=462.82  F_check=462.82
  [weight_root_translate_peak_vel_jumping_A301] side=low  F_csv=387.91  F_check=387.91
  [weight_root_translate_peak_vel_jumping_A311] side=low  F_csv=285.65  F_check=285.65
  [weight_root_translate_peak_vel_jumping_A359] side=low  F_csv=280.70  F_check=280.70
  [weight_root_translate_peak_vel_jumping_A408] side=high  F_csv=1.83  F_check=1.83
  [weight_root_translate_peak_vel_jumping_A352] side=high  F_csv=17.69  F_check=17.69
  [weight_root_translate_peak_vel_jumping_A353] side=high  F_csv=23.13  F_check=23.13
  [weight_root_translate_peak_vel_jumping_A413] side=high  F_csv=25.19  F_check=25.19
  [height_root_translate_rom_climbing_box_A045] side=low  F_csv=128.20  F_check=128.20
  [height_root_translate_rom_climbing_box_A048] side=low  F_csv=127.78  F_check=127.78
  [height_root_translate_rom_climbing_box_A065] side=low  F_csv=102.37  F_check=102.37
  [height_root_translate_rom_climbing_box_A310] side=low  F_csv=101.60  F_check=101.60
  [height_root_translate_rom_climbing_box_A051] side=high  F_csv=5.70  F_check=5.70
  [height_root_translate_rom_climbing_box_A050] side=high  F_csv=10.60  F_check=10.60
  [height_root_translate_rom_climbing_box_A119] side=high  F_csv=50.45  F_check=50.45
  [height_root_translate_rom_climbing_box_A253] side=high  F_csv=51.84  F_check=51.84
  [height_root_translate_rom_jogging_turning_A053] side=low  F_csv=820.85  F_check=820.85
  [height_root_translate_rom_jogging_turning_A049] side=low  F_csv=804.14  F_check=804.14
  [height_root_translate_rom_jogging_turning_A061] side=low  F_csv=801.02  F_check=801.02
  [height_root_translate_rom_jogging_turning_A071] side=low  F_csv=769.50  F_check=769.50
  [height_root_translate_rom_jogging_turning_A025] side=high  F_csv=219.72  F_check=219.72
  [height_root_translate_rom_jogging_turning_A020] side=high  F_csv=237.85  F_check=237.85
  [height_root_translate_rom_jogging_turning_A067] side=high  F_csv=274.52  F_check=274.52
  [height_root_translate_rom_jogging_turning_A034] side=high  F_csv=291.54  F_check=291.54
  [height_root_translate_rom_walking_turning_A037] side=low  F_csv=846.27  F_check=846.27
  [height_root_translate_rom_walking_turning_A026] side=low  F_csv=837.15  F_check=837.15
  [height_root_translate_rom_walking_turning_A029] side=low  F_csv=771.15  F_check=771.15
  [height_root_translate_rom_walking_turning_A018] side=low  F_csv=762.92  F_check=762.92
  [height_root_translate_rom_walking_turning_A031] side=high  F_csv=1.48  F_check=1.48
  [height_root_translate_rom_walking_turning_A025] side=high  F_csv=12.90  F_check=12.90
  [height_root_translate_rom_walking_turning_A519] side=high  F_csv=25.57  F_check=25.57
  [height_root_translate_rom_walking_turning_A060] side=high  F_csv=143.29  F_check=143.29
  [height_root_translate_rom_walking_A006] side=low  F_csv=1036.07  F_check=1036.07
  [height_root_translate_rom_walking_A005] side=low  F_csv=985.66  F_check=985.66
  [height_root_translate_rom_walking_A008] side=low  F_csv=980.61  F_check=980.61
  [height_root_translate_rom_walking_A018] side=low  F_csv=936.69  F_check=936.69
  [height_root_translate_rom_walking_A428] side=high  F_csv=0.57  F_check=0.57
  [height_root_translate_rom_walking_A035] side=high  F_csv=0.80  F_check=0.80
  [height_root_translate_rom_walking_A196] side=high  F_csv=1.01  F_check=1.01
  [height_root_translate_rom_walking_A034] side=high  F_csv=1.77  F_check=1.77
  [height_root_translate_rom_jogging_A107] side=low  F_csv=983.02  F_check=983.02
  [height_root_translate_rom_jogging_A019] side=low  F_csv=982.03  F_check=982.03
  [height_root_translate_rom_jogging_A018] side=low  F_csv=958.21  F_check=958.21
  [height_root_translate_rom_jogging_A026] side=low  F_csv=938.86  F_check=938.86
  [height_root_translate_rom_jogging_A093] side=high  F_csv=0.55  F_check=0.55
  [height_root_translate_rom_jogging_A063] side=high  F_csv=0.67  F_check=0.67
  [height_root_translate_rom_jogging_A072] side=high  F_csv=0.77  F_check=0.77
  [height_root_translate_rom_jogging_A023] side=high  F_csv=3.11  F_check=3.11
  [height_root_translate_rom_sitting_A008] side=low  F_csv=154.83  F_check=154.83
  [height_root_translate_rom_sitting_A006] side=low  F_csv=145.20  F_check=145.20
  [height_root_translate_rom_sitting_A005] side=low  F_csv=124.33  F_check=124.33
  [height_root_translate_rom_sitting_A041] side=low  F_csv=115.83  F_check=115.83
  [height_root_translate_rom_sitting_A191] side=high  F_csv=0.07  F_check=0.07
  [height_root_translate_rom_sitting_A184] side=high  F_csv=0.08  F_check=0.08
  [height_root_translate_rom_sitting_A189] side=high  F_csv=0.08  F_check=0.08
  [height_root_translate_rom_sitting_A168] side=high  F_csv=0.08  F_check=0.08
  [height_root_translate_rom_dancing_A322] side=low  F_csv=612.72  F_check=612.72
  [height_root_translate_rom_dancing_A325] side=low  F_csv=596.42  F_check=596.42
  [height_root_translate_rom_dancing_A323] side=low  F_csv=573.04  F_check=573.04
  [height_root_translate_rom_dancing_A320] side=low  F_csv=468.73  F_check=468.73
  [height_root_translate_rom_dancing_A314] side=high  F_csv=5.14  F_check=5.14
  [height_root_translate_rom_dancing_A309] side=high  F_csv=5.99  F_check=5.99
  [height_root_translate_rom_dancing_A067] side=high  F_csv=11.37  F_check=11.37
  [height_root_translate_rom_dancing_A023] side=high  F_csv=12.48  F_check=12.48
  [height_root_translate_rom_turning_A073] side=low  F_csv=1.10  F_check=1.10
  [height_root_translate_rom_turning_A026] side=low  F_csv=1.95  F_check=1.95
  [height_root_translate_rom_turning_A484] side=low  F_csv=2.18  F_check=2.18
  [height_root_translate_rom_turning_A485] side=low  F_csv=3.45  F_check=3.45
  [height_root_translate_rom_turning_A127] side=high  F_csv=67.69  F_check=67.69
  [height_root_translate_rom_turning_A197] side=high  F_csv=58.82  F_check=58.82
  [height_root_translate_rom_turning_A147] side=high  F_csv=56.72  F_check=56.72
  [height_root_translate_rom_turning_A551] side=high  F_csv=53.83  F_check=53.83
  [height_root_translate_peak_vel_jogging_turning_A068] side=low  F_csv=358.14  F_check=358.14
  [height_root_translate_peak_vel_jogging_turning_A029] side=low  F_csv=348.02  F_check=348.02
  [height_root_translate_peak_vel_jogging_turning_A061] side=low  F_csv=342.88  F_check=342.88
  [height_root_translate_peak_vel_jogging_turning_A032] side=low  F_csv=321.76  F_check=321.76
  [height_root_translate_peak_vel_jogging_turning_A055] side=high  F_csv=132.65  F_check=132.65
  [height_root_translate_peak_vel_jogging_turning_A039] side=high  F_csv=142.51  F_check=142.51
  [height_root_translate_peak_vel_jogging_turning_A238] side=high  F_csv=150.89  F_check=150.89
  [height_root_translate_peak_vel_jogging_turning_A034] side=high  F_csv=152.07  F_check=152.07
  [height_root_translate_peak_vel_walking_turning_A048] side=low  F_csv=163.51  F_check=163.51
  [height_root_translate_peak_vel_walking_turning_A064] side=low  F_csv=160.69  F_check=160.69
  [height_root_translate_peak_vel_walking_turning_A032] side=low  F_csv=156.26  F_check=156.26
  [height_root_translate_peak_vel_walking_turning_A029] side=low  F_csv=156.06  F_check=156.06
  [height_root_translate_peak_vel_walking_turning_A031] side=high  F_csv=3.16  F_check=3.16
  [height_root_translate_peak_vel_walking_turning_A519] side=high  F_csv=13.96  F_check=13.96
  [height_root_translate_peak_vel_walking_turning_A025] side=high  F_csv=43.10  F_check=43.10
  [height_root_translate_peak_vel_walking_turning_A161] side=high  F_csv=51.00  F_check=51.00
  [height_root_translate_peak_vel_climbing_box_A364] side=low  F_csv=212.55  F_check=212.55
  [height_root_translate_peak_vel_climbing_box_A305] side=low  F_csv=202.98  F_check=202.98
  [height_root_translate_peak_vel_climbing_box_A071] side=low  F_csv=201.88  F_check=201.88
  [height_root_translate_peak_vel_climbing_box_A415] side=low  F_csv=201.49  F_check=201.49
  [height_root_translate_peak_vel_climbing_box_A051] side=high  F_csv=11.68  F_check=11.68
  [height_root_translate_peak_vel_climbing_box_A050] side=high  F_csv=17.06  F_check=17.06
  [height_root_translate_peak_vel_climbing_box_A253] side=high  F_csv=100.02  F_check=100.02
  [height_root_translate_peak_vel_climbing_box_A047] side=high  F_csv=103.75  F_check=103.75
  [height_root_translate_peak_vel_jumping_turning_A018] side=low  F_csv=246.63  F_check=246.63
  [height_root_translate_peak_vel_jumping_turning_A021] side=low  F_csv=242.34  F_check=242.34
  [height_root_translate_peak_vel_jumping_turning_A024] side=low  F_csv=240.19  F_check=240.19
  [height_root_translate_peak_vel_jumping_turning_A029] side=low  F_csv=224.25  F_check=224.25
  [height_root_translate_peak_vel_jumping_turning_A039] side=high  F_csv=3.36  F_check=3.36
  [height_root_translate_peak_vel_jumping_turning_A025] side=high  F_csv=11.28  F_check=11.28
  [height_root_translate_peak_vel_jumping_turning_A067] side=high  F_csv=71.28  F_check=71.28
  [height_root_translate_peak_vel_jumping_turning_A035] side=high  F_csv=85.68  F_check=85.68
  [height_root_translate_peak_vel_walking_A449] side=low  F_csv=319.52  F_check=319.52
  [height_root_translate_peak_vel_walking_A071] side=low  F_csv=272.17  F_check=272.17
  [height_root_translate_peak_vel_walking_A450] side=low  F_csv=267.99  F_check=267.99
  [height_root_translate_peak_vel_walking_A006] side=low  F_csv=227.74  F_check=227.74
  [height_root_translate_peak_vel_walking_A034] side=high  F_csv=1.57  F_check=1.57
  [height_root_translate_peak_vel_walking_A035] side=high  F_csv=1.92  F_check=1.92
  [height_root_translate_peak_vel_walking_A428] side=high  F_csv=2.40  F_check=2.40
  [height_root_translate_peak_vel_walking_A127] side=high  F_csv=2.83  F_check=2.83
  [height_root_translate_peak_vel_jogging_A019] side=low  F_csv=452.65  F_check=452.65
  [height_root_translate_peak_vel_jogging_A451] side=low  F_csv=448.65  F_check=448.65
  [height_root_translate_peak_vel_jogging_A443] side=low  F_csv=332.24  F_check=332.24
  [height_root_translate_peak_vel_jogging_A029] side=low  F_csv=322.86  F_check=322.86
  [height_root_translate_peak_vel_jogging_A093] side=high  F_csv=1.30  F_check=1.30
  [height_root_translate_peak_vel_jogging_A072] side=high  F_csv=1.65  F_check=1.65
  [height_root_translate_peak_vel_jogging_A063] side=high  F_csv=2.93  F_check=2.93
  [height_root_translate_peak_vel_jogging_A023] side=high  F_csv=3.17  F_check=3.17
  [height_root_translate_peak_vel_dancing_A310] side=low  F_csv=223.77  F_check=223.77
  [height_root_translate_peak_vel_dancing_A317] side=low  F_csv=223.36  F_check=223.36
  [height_root_translate_peak_vel_dancing_A464] side=low  F_csv=221.61  F_check=221.61
  [height_root_translate_peak_vel_dancing_A323] side=low  F_csv=219.84  F_check=219.84
  [height_root_translate_peak_vel_dancing_A067] side=high  F_csv=15.17  F_check=15.17
  [height_root_translate_peak_vel_dancing_A055] side=high  F_csv=17.76  F_check=17.76
  [height_root_translate_peak_vel_dancing_A039] side=high  F_csv=18.82  F_check=18.82
  [height_root_translate_peak_vel_dancing_A309] side=high  F_csv=19.05  F_check=19.05
  [height_root_translate_peak_vel_kneeling_A024] side=low  F_csv=130.82  F_check=130.82
  [height_root_translate_peak_vel_kneeling_A048] side=low  F_csv=113.42  F_check=113.42
  [height_root_translate_peak_vel_kneeling_A032] side=low  F_csv=100.76  F_check=100.76
  [height_root_translate_peak_vel_kneeling_A036] side=low  F_csv=100.46  F_check=100.46
  [height_root_translate_peak_vel_kneeling_A039] side=high  F_csv=1.00  F_check=1.00
  [height_root_translate_peak_vel_kneeling_A123] side=high  F_csv=1.07  F_check=1.07
  [height_root_translate_peak_vel_kneeling_A189] side=high  F_csv=1.20  F_check=1.20
  [height_root_translate_peak_vel_kneeling_A168] side=high  F_csv=1.61  F_check=1.61
  [height_ankle_rom_jogging_A029] side=low  F_csv=82.25  F_check=82.25
  [height_ankle_rom_jogging_A018] side=low  F_csv=81.11  F_check=81.11
  [height_ankle_rom_jogging_A543] side=low  F_csv=81.08  F_check=81.08
  [height_ankle_rom_jogging_A024] side=low  F_csv=77.56  F_check=77.56
  [height_ankle_rom_jogging_A093] side=high  F_csv=0.40  F_check=0.40
  [height_ankle_rom_jogging_A063] side=high  F_csv=0.49  F_check=0.49
  [height_ankle_rom_jogging_A072] side=high  F_csv=0.56  F_check=0.56
  [height_ankle_rom_jogging_A023] side=high  F_csv=4.14  F_check=4.14
  [height_ankle_rom_jumping_turning_A018] side=low  F_csv=83.31  F_check=83.31
  [height_ankle_rom_jumping_turning_A029] side=low  F_csv=77.14  F_check=77.14
  [height_ankle_rom_jumping_turning_A021] side=low  F_csv=67.54  F_check=67.54
  [height_ankle_rom_jumping_turning_A026] side=low  F_csv=64.16  F_check=64.16
  [height_ankle_rom_jumping_turning_A039] side=high  F_csv=3.73  F_check=3.73
  [height_ankle_rom_jumping_turning_A025] side=high  F_csv=8.52  F_check=8.52
  [height_ankle_rom_jumping_turning_A067] side=high  F_csv=25.95  F_check=25.95
  [height_ankle_rom_jumping_turning_A035] side=high  F_csv=26.98  F_check=26.98
  [height_ankle_rom_climbing_box_A049] side=low  F_csv=77.08  F_check=77.08
  [height_ankle_rom_climbing_box_A160] side=low  F_csv=74.84  F_check=74.84
  [height_ankle_rom_climbing_box_A141] side=low  F_csv=74.36  F_check=74.36
  [height_ankle_rom_climbing_box_A165] side=low  F_csv=73.83  F_check=73.83
  [height_ankle_rom_climbing_box_A051] side=high  F_csv=10.22  F_check=10.22
  [height_ankle_rom_climbing_box_A050] side=high  F_csv=35.29  F_check=35.29
  [height_ankle_rom_climbing_box_A232] side=high  F_csv=40.18  F_check=40.18
  [height_ankle_rom_climbing_box_A161] side=high  F_csv=41.10  F_check=41.10
  [height_ankle_rom_jumping_A415] side=low  F_csv=83.59  F_check=83.59
  [height_ankle_rom_jumping_A018] side=low  F_csv=80.72  F_check=80.72
  [height_ankle_rom_jumping_A418] side=low  F_csv=79.35  F_check=79.35
  [height_ankle_rom_jumping_A029] side=low  F_csv=79.31  F_check=79.31
  [height_ankle_rom_jumping_A409] side=high  F_csv=0.26  F_check=0.26
  [height_ankle_rom_jumping_A408] side=high  F_csv=0.29  F_check=0.29
  [height_ankle_rom_jumping_A353] side=high  F_csv=25.22  F_check=25.22
  [height_ankle_rom_jumping_A253] side=high  F_csv=27.03  F_check=27.03
  [height_ankle_rom_jogging_turning_A018] side=low  F_csv=82.65  F_check=82.65
  [height_ankle_rom_jogging_turning_A029] side=low  F_csv=81.59  F_check=81.59
  [height_ankle_rom_jogging_turning_A021] side=low  F_csv=74.62  F_check=74.62
  [height_ankle_rom_jogging_turning_A019] side=low  F_csv=73.97  F_check=73.97
  [height_ankle_rom_jogging_turning_A055] side=high  F_csv=36.55  F_check=36.55
  [height_ankle_rom_jogging_turning_A067] side=high  F_csv=38.83  F_check=38.83
  [height_ankle_rom_jogging_turning_A034] side=high  F_csv=42.34  F_check=42.34
  [height_ankle_rom_jogging_turning_A060] side=high  F_csv=43.83  F_check=43.83
  [height_ankle_rom_walking_turning_A018] side=low  F_csv=63.50  F_check=63.50
  [height_ankle_rom_walking_turning_A029] side=low  F_csv=63.25  F_check=63.25
  [height_ankle_rom_walking_turning_A460] side=low  F_csv=57.21  F_check=57.21
  [height_ankle_rom_walking_turning_A019] side=low  F_csv=53.68  F_check=53.68
  [height_ankle_rom_walking_turning_A031] side=high  F_csv=1.21  F_check=1.21
  [height_ankle_rom_walking_turning_A025] side=high  F_csv=13.62  F_check=13.62
  [height_ankle_rom_walking_turning_A519] side=high  F_csv=24.01  F_check=24.01
  [height_ankle_rom_walking_turning_A043] side=high  F_csv=29.73  F_check=29.73
  [height_ankle_rom_gesture_dancing_A118] side=low  F_csv=1.37  F_check=1.37
  [height_ankle_rom_gesture_dancing_A438] side=low  F_csv=1.50  F_check=1.50
  [height_ankle_rom_gesture_dancing_A144] side=low  F_csv=1.64  F_check=1.64
  [height_ankle_rom_gesture_dancing_A187] side=low  F_csv=2.14  F_check=2.14
  [height_ankle_rom_gesture_dancing_A409] side=high  F_csv=81.53  F_check=81.53
  [height_ankle_rom_gesture_dancing_A100] side=high  F_csv=78.00  F_check=78.00
  [height_ankle_rom_gesture_dancing_A352] side=high  F_csv=75.15  F_check=75.15
  [height_ankle_rom_gesture_dancing_A353] side=high  F_csv=67.67  F_check=67.67
  [height_ankle_rom_dancing_A315] side=low  F_csv=84.28  F_check=84.28
  [height_ankle_rom_dancing_A464] side=low  F_csv=82.93  F_check=82.93
  [height_ankle_rom_dancing_A320] side=low  F_csv=80.83  F_check=80.83
  [height_ankle_rom_dancing_A071] side=low  F_csv=79.95  F_check=79.95
  [height_ankle_rom_dancing_A309] side=high  F_csv=11.86  F_check=11.86
  [height_ankle_rom_dancing_A314] side=high  F_csv=12.15  F_check=12.15
  [height_ankle_rom_dancing_A055] side=high  F_csv=17.77  F_check=17.77
  [height_ankle_rom_dancing_A100] side=high  F_csv=18.37  F_check=18.37
  [gender_ankle_rom_jogging_turning_A018] side=low  F_csv=82.65  F_check=82.65
  [gender_ankle_rom_jogging_turning_A029] side=low  F_csv=81.59  F_check=81.59
  [gender_ankle_rom_jogging_turning_A165] side=low  F_csv=78.32  F_check=78.32
  [gender_ankle_rom_jogging_turning_A166] side=low  F_csv=77.97  F_check=77.97
  [gender_ankle_rom_jogging_turning_A268] side=high  F_csv=34.64  F_check=34.64
  [gender_ankle_rom_jogging_turning_A055] side=high  F_csv=36.55  F_check=36.55
  [gender_ankle_rom_jogging_turning_A266] side=high  F_csv=37.76  F_check=37.76
  [gender_ankle_rom_jogging_turning_A067] side=high  F_csv=38.83  F_check=38.83
  [gender_ankle_rom_walking_turning_A018] side=low  F_csv=63.50  F_check=63.50
  [gender_ankle_rom_walking_turning_A029] side=low  F_csv=63.25  F_check=63.25
  [gender_ankle_rom_walking_turning_A030] side=low  F_csv=61.73  F_check=61.73
  [gender_ankle_rom_walking_turning_A140] side=low  F_csv=60.28  F_check=60.28
  [gender_ankle_rom_walking_turning_A031] side=high  F_csv=1.21  F_check=1.21
  [gender_ankle_rom_walking_turning_A032] side=high  F_csv=8.78  F_check=8.78
  [gender_ankle_rom_walking_turning_A025] side=high  F_csv=13.62  F_check=13.62
  [gender_ankle_rom_walking_turning_A518] side=high  F_csv=23.16  F_check=23.16
  [gender_ankle_rom_jogging_A029] side=low  F_csv=82.25  F_check=82.25
  [gender_ankle_rom_jogging_A018] side=low  F_csv=81.11  F_check=81.11
  [gender_ankle_rom_jogging_A543] side=low  F_csv=81.08  F_check=81.08
  [gender_ankle_rom_jogging_A166] side=low  F_csv=78.05  F_check=78.05
  [gender_ankle_rom_jogging_A093] side=high  F_csv=0.40  F_check=0.40
  [gender_ankle_rom_jogging_A063] side=high  F_csv=0.49  F_check=0.49
  [gender_ankle_rom_jogging_A072] side=high  F_csv=0.56  F_check=0.56
  [gender_ankle_rom_jogging_A096] side=high  F_csv=0.93  F_check=0.93
  [gender_ankle_rom_jumping_turning_A018] side=low  F_csv=83.31  F_check=83.31
  [gender_ankle_rom_jumping_turning_A029] side=low  F_csv=77.14  F_check=77.14
  [gender_ankle_rom_jumping_turning_A038] side=low  F_csv=68.28  F_check=68.28
  [gender_ankle_rom_jumping_turning_A021] side=low  F_csv=67.54  F_check=67.54
  [gender_ankle_rom_jumping_turning_A039] side=high  F_csv=3.73  F_check=3.73
  [gender_ankle_rom_jumping_turning_A025] side=high  F_csv=8.52  F_check=8.52
  [gender_ankle_rom_jumping_turning_A040] side=high  F_csv=9.94  F_check=9.94
  [gender_ankle_rom_jumping_turning_A067] side=high  F_csv=25.95  F_check=25.95
  [gender_ankle_rom_climbing_box_A049] side=low  F_csv=77.08  F_check=77.08
  [gender_ankle_rom_climbing_box_A160] side=low  F_csv=74.84  F_check=74.84
  [gender_ankle_rom_climbing_box_A141] side=low  F_csv=74.36  F_check=74.36
  [gender_ankle_rom_climbing_box_A165] side=low  F_csv=73.83  F_check=73.83
  [gender_ankle_rom_climbing_box_A052] side=high  F_csv=2.40  F_check=2.40
  [gender_ankle_rom_climbing_box_A051] side=high  F_csv=10.22  F_check=10.22
  [gender_ankle_rom_climbing_box_A372] side=high  F_csv=34.97  F_check=34.97
  [gender_ankle_rom_climbing_box_A367] side=high  F_csv=36.36  F_check=36.36
  [gender_ankle_rom_jumping_A415] side=low  F_csv=83.59  F_check=83.59
  [gender_ankle_rom_jumping_A444] side=low  F_csv=82.19  F_check=82.19
  [gender_ankle_rom_jumping_A448] side=low  F_csv=81.41  F_check=81.41
  [gender_ankle_rom_jumping_A018] side=low  F_csv=80.72  F_check=80.72
  [gender_ankle_rom_jumping_A409] side=high  F_csv=0.26  F_check=0.26
  [gender_ankle_rom_jumping_A408] side=high  F_csv=0.29  F_check=0.29
  [gender_ankle_rom_jumping_A406] side=high  F_csv=0.57  F_check=0.57
  [gender_ankle_rom_jumping_A407] side=high  F_csv=0.95  F_check=0.95
  [gender_ankle_rom_walking_A146] side=low  F_csv=85.44  F_check=85.44
  [gender_ankle_rom_walking_A145] side=low  F_csv=85.44  F_check=85.44
  [gender_ankle_rom_walking_A341] side=low  F_csv=80.36  F_check=80.36
  [gender_ankle_rom_walking_A125] side=low  F_csv=76.46  F_check=76.46
  [gender_ankle_rom_walking_A035] side=high  F_csv=0.69  F_check=0.69
  [gender_ankle_rom_walking_A428] side=high  F_csv=1.01  F_check=1.01
  [gender_ankle_rom_walking_A196] side=high  F_csv=1.01  F_check=1.01
  [gender_ankle_rom_walking_A033] side=high  F_csv=1.11  F_check=1.11
  [gender_ankle_rom_dancing_A315] side=low  F_csv=84.28  F_check=84.28
  [gender_ankle_rom_dancing_A464] side=low  F_csv=82.93  F_check=82.93
  [gender_ankle_rom_dancing_A321] side=low  F_csv=81.25  F_check=81.25
  [gender_ankle_rom_dancing_A320] side=low  F_csv=80.83  F_check=80.83
  [gender_ankle_rom_dancing_A467] side=high  F_csv=3.43  F_check=3.43
  [gender_ankle_rom_dancing_A313] side=high  F_csv=5.18  F_check=5.18
  [gender_ankle_rom_dancing_A311] side=high  F_csv=6.28  F_check=6.28
  [gender_ankle_rom_dancing_A319] side=high  F_csv=7.61  F_check=7.61
  [gender_shoulder_rom_jogging_A029] side=low  F_csv=292.06  F_check=292.06
  [gender_shoulder_rom_jogging_A461] side=low  F_csv=290.97  F_check=290.97
  [gender_shoulder_rom_jogging_A460] side=low  F_csv=224.88  F_check=224.88
  [gender_shoulder_rom_jogging_A030] side=low  F_csv=216.20  F_check=216.20
  [gender_shoulder_rom_jogging_A063] side=high  F_csv=0.77  F_check=0.77
  [gender_shoulder_rom_jogging_A096] side=high  F_csv=1.29  F_check=1.29
  [gender_shoulder_rom_jogging_A093] side=high  F_csv=1.63  F_check=1.63
  [gender_shoulder_rom_jogging_A072] side=high  F_csv=2.11  F_check=2.11
  [gender_shoulder_rom_climbing_box_A249] side=low  F_csv=217.10  F_check=217.10
  [gender_shoulder_rom_climbing_box_A252] side=low  F_csv=204.66  F_check=204.66
  [gender_shoulder_rom_climbing_box_A469] side=low  F_csv=174.01  F_check=174.01
  [gender_shoulder_rom_climbing_box_A203] side=low  F_csv=164.40  F_check=164.40
  [gender_shoulder_rom_climbing_box_A052] side=high  F_csv=3.17  F_check=3.17
  [gender_shoulder_rom_climbing_box_A051] side=high  F_csv=7.48  F_check=7.48
  [gender_shoulder_rom_climbing_box_A200] side=high  F_csv=14.09  F_check=14.09
  [gender_shoulder_rom_climbing_box_A297] side=high  F_csv=18.84  F_check=18.84
  [gender_shoulder_rom_gesture_dancing_A235] side=low  F_csv=226.80  F_check=226.80
  [gender_shoulder_rom_gesture_dancing_A141] side=low  F_csv=202.94  F_check=202.94
  [gender_shoulder_rom_gesture_dancing_A345] side=low  F_csv=199.28  F_check=199.28
  [gender_shoulder_rom_gesture_dancing_A186] side=low  F_csv=183.64  F_check=183.64
  [gender_shoulder_rom_gesture_dancing_A406] side=high  F_csv=10.15  F_check=10.15
