attr,feature,n_per_side,gap_iqr,cohens_d,med_lo,med_hi,score,task,r
age,waist_rom,236,0.09297600685594842,1.4001541994420388,46.67594528198242,29.633140563964844,0.2894937670765067,dancing,-0.3398405498396174
age,waist_rom,123,-0.13297227741746603,1.2542731112386136,46.14248275756836,35.580623626708984,0.08328779634117475,"jogging, turning",-0.4096718232368371
age,waist_rom,1355,-0.2394852262660627,0.9734933108926687,36.691484451293945,27.301437377929688,0.10734933108926688,jogging,-0.3984731709935847
age,waist_rom,178,-0.2506406587245169,0.9341883894724422,16.268460273742676,12.747637271881104,0.09204276666304737,turning,-0.3369269458858369
age,waist_rom,1223,-0.35048544514522917,0.8821713677296088,26.615062713623047,21.550283432006836,0.09821713677296089,walking,-0.27770368679329704
age,waist_rom,171,-0.3708442173184866,0.8276181386914043,13.29299545288086,9.98615837097168,0.07931135085811507,transition,-0.3529994267043931
age,waist_rom,149,-0.4418050539067647,0.6579282827952183,29.415075302124023,24.931581497192383,0.05646565706824376,"walking, turning",-0.20203043616854272
age,waist_rom,30,-0.5090061300864742,0.9967224293851017,29.22245216369629,17.299365997314453,0.016450836440776526,"gesture, dancing",-0.5062010581277407
age,waist_rom,72,-0.5467948951699815,0.00014236931122804897,4.3535802364349365,5.733122825622559,0.0036051252952042103,standing idle,0.024306134082477455
age,waist_rom,139,-0.5981146581939573,0.6435963309309214,28.523469924926758,24.1655216217041,0.05167994499969903,"jumping, turning",-0.27651759694534517
age,waist_rom,625,-0.6252188788411391,0.448667347631368,30.02294921875,25.009796142578125,0.054866734763136804,jumping,-0.23029025185599178
age,waist_rom,105,-0.6511446810508511,0.14740843956166058,33.92465782165527,32.37799835205078,0.012988943076987183,climbing box,-0.014938632732595727
age,waist_rom,1283,-0.9338137856143282,0.10438251170312562,13.976247787475586,13.05303430557251,0.020438251170312564,gesture,-0.23072074837614515
age,waist_rom,91,-0.9446989605286454,0.17782282472230918,27.84247398376465,27.435588836669922,0.012640938524865069,kneeling,-0.26064150260128827
age,waist_rom,367,-0.9622108425316627,0.12056994120385116,41.79909706115723,38.50676727294922,0.022056994120385115,sitting,0.09531831892737407
weight,root_translate_peak_vel,159,0.3384545915335548,1.1746301957072507,133.530517578125,102.46379089355469,0.44429963214305035,"walking, turning",-0.30980325045166346
weight,root_translate_peak_vel,128,-0.004027641416496678,1.4343312512377886,247.43077850341797,195.32079315185547,0.09819720007921849,"jogging, turning",-0.40969614342510524
weight,root_translate_peak_vel,1073,-0.20777803067985853,0.9177752415587526,207.1046142578125,168.7559585571289,0.10177752415587527,jogging,-0.3178258255491889
weight,root_translate_peak_vel,1284,-0.2419681217180141,0.8206671318612345,126.11722564697266,100.62468719482422,0.09206671318612346,walking,-0.19039027119400037
weight,root_translate_peak_vel,176,-0.2633732362357971,0.8589841472723783,160.08555603027344,129.4661102294922,0.08439060495996929,"jumping, turning",-0.36471931509549615
weight,root_translate_peak_vel,641,-0.3015021077637473,0.6260910588884643,169.04673767089844,142.05746459960938,0.07260910588884643,jumping,-0.15920267473897268
weight,root_translate_peak_vel,624,-0.5148412033789928,0.6183125211151407,104.94944763183594,73.34309387207031,0.07183125211151407,dancing,-0.21262758083327968
weight,root_translate_peak_vel,106,-0.6699996369828641,0.1677197349651393,65.32876968383789,60.6274356842041,0.014189145953152387,kneeling,-0.3366625113545712
weight,root_translate_peak_vel,75,-0.7125029765453772,0.18181399644454344,6.55789041519165,4.203924179077148,0.010568024866670378,standing idle,0.030231457622153603
