attr,feature,n_per_side,gap_iqr,cohens_d,med_lo,med_hi,score,task,r
weight,root_translate_peak_vel,120,-0.7129943458063155,0.10640835955779064,22.53194236755371,18.86625099182129,0.012384501573467438,transition,-0.0661198734048991
weight,root_translate_peak_vel,135,-0.8253184084529734,0.17143514716886496,139.55784606933594,136.64263916015625,0.01832187243389839,climbing box,-0.11841220312614177
weight,root_translate_peak_vel,332,-0.8413968826525053,0.30710664538101484,85.85639572143555,70.85980987548828,0.04071066453810149,sitting,-0.10184189550647182
weight,root_translate_peak_vel,40,-0.8635976240156061,0.34357445579371715,80.38399505615234,59.142539978027344,0.008871489115874343,"gesture, dancing",-0.005234936317932929
weight,root_translate_peak_vel,191,-0.885455859994302,0.012413228859129705,29.23272705078125,31.0858097076416,0.010735463356046889,turning,-0.10627052586770835
weight,root_translate_peak_vel,596,-1.0622893699987785,0.04104023348603025,8.043305397033691,8.484703063964844,0.014104023348603027,gesture,-0.058329736768364934
weight,root_translate_peak_vel,57,-1.2924894942890384,0.15414007084084,15.890243530273438,18.864866256713867,0.00724299201896394,action,-0.24400351427487144
height,root_translate_rom,108,0.07254802324684366,0.9069656586736753,77.83604049682617,67.6700325012207,0.09382496429606321,climbing box,-0.467393316960845
height,root_translate_rom,140,-0.31302391489183984,0.74753810889761,554.4224243164062,465.1707305908203,0.059327667622832696,"jogging, turning",-0.32578156537382397
height,root_translate_rom,170,-0.4728914899687856,0.022566848127543154,44.23616600036621,44.26469421386719,0.01041818209084117,kneeling,-0.11409602862450659
height,root_translate_rom,68,-0.5367539970084596,0.07704525414529947,2.7602360248565674,2.0460880398750305,0.0060195386409401825,standing idle,-0.01693383090009372
height,root_translate_rom,1213,-0.5898879802066584,0.6264766196004832,374.8380126953125,309.7788391113281,0.07264766196004832,walking,-0.2556152552862283
height,root_translate_rom,188,-0.5942819673537343,0.4530827744244803,375.91249084472656,307.8056945800781,0.05198978079590115,"walking, turning",-0.31138475953809547
height,root_translate_rom,588,-0.627276566342246,0.37296244420514496,44.45615577697754,31.122602462768555,0.0472962444205145,dancing,-0.1458367751697246
height,root_translate_rom,1051,-0.6370544851090855,0.4236977988022727,444.542724609375,381.09625244140625,0.05236977988022728,jogging,-0.28256514300462754
height,root_translate_rom,194,-0.6690730862918433,0.1543414124186485,85.30281066894531,74.05144500732422,0.024671117004608906,"jumping, turning",-0.0630304442151059
height,root_translate_rom,163,-0.8234624426501347,0.15605300959168233,12.101091384887695,12.770479202270508,0.020868320281722107,transition,0.032974564717932725
height,root_translate_rom,555,-0.8236919451185454,0.27069911359239157,77.96025085449219,65.74280548095703,0.03706991135923916,jumping,-0.05357020255167698
height,root_translate_rom,186,-0.9101538608562691,0.09092869165100154,23.70313835144043,22.07675838470459,0.017756368323543145,turning,0.0022974391386279477
height,root_translate_rom,832,-0.9781857870979017,0.037137548114117944,4.917771339416504,6.19271445274353,0.013713754811411794,gesture,-0.06161102782822475
height,root_translate_rom,569,-1.0344702371504415,0.0946474910090032,74.74357604980469,75.27165985107422,0.01946474910090032,sitting,-0.16072801592991717
gender,ankle_rom,345,-0.27437442916344956,0.7946538521916398,61.92394828796387,54.0844612121582,0.08946538521916397,"jogging, turning",-0.36124599956164016
gender,ankle_rom,451,-0.4398748615220036,0.5446615830002937,39.71525859832764,36.22062110900879,0.06446615830002937,"walking, turning",-0.37477356281306656
gender,ankle_rom,3356,-0.520035241393666,0.587420451878991,56.80125427246094,50.70576572418213,0.0687420451878991,jogging,-0.350100850191962
gender,ankle_rom,4125,-0.6264284646203168,0.3752138685678579,42.29759216308594,38.34874153137207,0.04752138685678579,walking,-0.18843451147467655
gender,ankle_rom,408,-0.6389065787830785,0.4819242547135298,50.5058536529541,44.53378772735596,0.05819242547135298,"jumping, turning",-0.327452748274279
gender,ankle_rom,208,-0.6746534225928749,0.14587888915672156,1.8163951337337494,1.727621927857399,0.02458788891567216,standing idle,-0.08528737040743256
gender,ankle_rom,783,-0.7569389849979147,0.292517783331497,53.67980766296387,52.058640480041504,0.0392517783331497,climbing box,-0.20673448436628927
gender,ankle_rom,2657,-0.782093216265979,0.3023964158252309,50.58860206604004,45.94830513000488,0.04023964158252309,dancing,-0.11637650243116565
gender,ankle_rom,2480,-0.8888022153115893,0.1691021459677254,55.41969680786133,52.46518898010254,0.026910214596772543,jumping,-0.22198834142644033
gender,ankle_rom,222,-0.9129866722055495,0.10663164092178472,12.25520634651184,14.740853548049927,0.02066316409217847,standing,0.1263356443713291
gender,ankle_rom,149,-0.9504628153122675,0.08756189657899127,43.805315017700195,44.11927032470703,0.013973361295134852,"gesture, dancing",0.03134891233766087
gender,ankle_rom,550,-0.9538849847044372,0.03771217105673222,22.556896209716797,23.691551208496094,0.013771217105673222,turning,-0.032132707533965854
gender,ankle_rom,431,-0.9693239244551087,0.00432453310182684,18.80721616744995,17.943063259124756,0.010432453310182686,transition,0.0061900871723753435
gender,ankle_rom,2480,-0.9714145345408438,0.014162938759629519,6.108641266822815,6.978894472122192,0.011416293875962952,gesture,-0.07148048346675327
gender,ankle_rom,1114,-0.9789971144316495,0.07380506623075533,58.58270072937012,54.606122970581055,0.017380506623075536,sitting,-0.08398046835836197
gender,ankle_rom,107,-1.0397716179379797,0.18463283351740536,16.431304216384888,15.739826440811157,0.01522785659318119,action,-0.37866095720047965
gender,ankle_rom,302,-1.0619809153701478,0.052628787766070995,36.645779609680176,36.82372331619263,0.0152628787766071,kneeling,-0.16309961812999627
